pid,uri,title,longitude,latitude,description
21919,https://pleiades.stoa.org/places/21919,Raouios (river),,,"An ancient place, cited: BAtlas 2 unlocated Raouios fl."
21920,https://pleiades.stoa.org/places/21920,Regia,,,"An ancient place, cited: BAtlas 2 unlocated Regia"
29457,https://pleiades.stoa.org/places/29457,Alexandria,62.16410466666667,34.331043666666666,"An ancient place, cited: BAtlas 3 H3 Alexandria"
29461,https://pleiades.stoa.org/places/29461,Amata,37.239274,31.608198,"An ancient place, cited: BAtlas 3 C3 Amata"
29482,https://pleiades.stoa.org/places/29482,Ari(m)aspai,62.050647063501486,30.446008917079386,"An ancient place, cited: BAtlas 3 H3 Ari(m)aspai"
29503,https://pleiades.stoa.org/places/29503,Barna,62.331697,25.227074,"An ancient place, cited: BAtlas 3 H4 Barna"
29525,https://pleiades.stoa.org/places/29525,Chatracharta,63.544933,39.06704,"An ancient place, cited: BAtlas 3 H2 Chatracharta"
29542,https://pleiades.stoa.org/places/29542,Darabgird,54.544772,28.755075,"An ancient place, cited: BAtlas 3 F4 Darabgird"
29569,https://pleiades.stoa.org/places/29569,Garm-Kerman,57.29478759329696,27.680281105534036,"An ancient place, cited: BAtlas 3 G4 Garm-Kerman"
29617,https://pleiades.stoa.org/places/29617,Jumeirah,55.24176465014546,25.196824295441,"An ancient place, cited: BAtlas 3 G4 Jumeirah"
29625,https://pleiades.stoa.org/places/29625,Karkuya/‘Korok’?,61.50457,31.1289975,"An ancient place, cited: BAtlas 3 H3 Karkuya/‘Korok’?"
29626,https://pleiades.stoa.org/places/29626,Karmana,57.743416,28.665408,"An ancient place, cited: BAtlas 3 G4 Karmana"
29633,https://pleiades.stoa.org/places/29633,Korodamon? Akron,59.7982879,22.533032,"An ancient place, cited: BAtlas 3 G5 Korodamon? Akron"
29635,https://pleiades.stoa.org/places/29635,Kryptos Limen?,58.592587,23.612619,"An ancient place, cited: BAtlas 3 G5 Kryptos Limen?"
29636,https://pleiades.stoa.org/places/29636,Kuh-i Khwaja,61.449416,30.582929,"An ancient place, cited: BAtlas 3 H3 Kuh-i Khwaja"
29652,https://pleiades.stoa.org/places/29652,Macoraba,39.815421,21.426804,"An ancient place, cited: BAtlas 3 C5 Macoraba"
29656,https://pleiades.stoa.org/places/29656,Maka/Maketa,57.5,27.5,"An ancient place, cited: BAtlas 3 G4 Maka/Maketa"
29686,https://pleiades.stoa.org/places/29686,Niriz/Narezzash?,54.319643,29.193851,"An ancient place, cited: BAtlas 3 F4 Niriz/Narezzash?"
29718,https://pleiades.stoa.org/places/29718,Phra(da)/Prophthasia/Frakh-kar-Peroz,62.111652874372794,32.382119010923255,"An ancient place, cited: BAtlas 3 H3 Phra(da)/Prophthasia/Frakh-kar-Peroz"
29729,https://pleiades.stoa.org/places/29729,Qal'a-i Sam,61.565115,30.448068,"An ancient place, cited: BAtlas 3 H3 Qal'a-i Sam"
29744,https://pleiades.stoa.org/places/29744,Sard-Kerman,57.5,27.5,"An ancient place, cited: BAtlas 3 G4 Sard-Kerman"
29748,https://pleiades.stoa.org/places/29748,Sar-o Tar,61.66014,30.551217,"An ancient place, cited: BAtlas 3 H3 Sar-o Tar"
29755,https://pleiades.stoa.org/places/29755,Shahristan/Zarang?,61.6263685,30.962826999999997,"An ancient place, cited: BAtlas 3 H3 Shahristan/Zarang?"
29756,https://pleiades.stoa.org/places/29756,Shiragan/Sirjan,55.668645,29.436543,"An ancient place, cited: BAtlas 3 G4 Shiragan/Sirjan"
29762,https://pleiades.stoa.org/places/29762,[Siraf],52.33683,27.670345,"An ancient place, cited: BAtlas 3 F4 [Siraf]"
29766,https://pleiades.stoa.org/places/29766,[Sohar],56.731518,24.377793,"An ancient place, cited: BAtlas 3 G5 [Sohar]"
29781,https://pleiades.stoa.org/places/29781,Tell-i Zohak/Pasa?/Bashiyan?,53.642646,28.931476,"An ancient place, cited: BAtlas 3 F4 Tell-i Zohak/Pasa?/Bashiyan?"
29783,https://pleiades.stoa.org/places/29783,Tepe Yahya,56.8675,28.3309,"An ancient place, cited: BAtlas 3 G4 Tepe Yahya"
29799,https://pleiades.stoa.org/places/29799,Valashgerd,57.25407,27.862649,"An ancient place, cited: BAtlas 3 G4 Valashgerd"
29800,https://pleiades.stoa.org/places/29800,Varakhsha,64.07319452562535,39.863806982347356,"An ancient place, cited: BAtlas 3 H2 Varakhsha"
29802,https://pleiades.stoa.org/places/29802,Veh Ardashir/[Bardasir]/[Govasir],57.068581,30.273015,"An ancient place, cited: BAtlas 3 G3 Veh Ardashir/[Bardasir]/[Govasir]"
29806,https://pleiades.stoa.org/places/29806,Wadi Samad,58.096865,22.705632,"An ancient place, cited: BAtlas 3 G5 Wadi Samad"
29807,https://pleiades.stoa.org/places/29807,Wadi Sirhan,37.85758408373678,31.071650489148283,"An ancient place, cited: BAtlas 3 C3 Wadi Sirhan"
