pid,uri,title,longitude,latitude,without_zotero
29652,https://pleiades.stoa.org/places/29652,Macoraba,39.815421,21.426804,"29652:>>RESuppl. 12 Μακοράβα|29652:http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0064%3Aalphabetic+letter%3DM%3Aentry+group%3D1%3Aentry%3Dmacoraba-geo>>Smith 1854 (Perseus), MACORABA|29652:>>Ptol. 6.7.32|29652:http://referenceworks.brillonline.com/entries/brill-s-new-pauly/macoraba-e719180>>New Pauly, Macoraba|29652:name:mekka:>>TAVO Index (Vol. 2, p. 1078)|29652:name:makka:>>TAVO Index (Vol. 2, p. 1029)|29652:name:makka-1:>>TAVO Index (Vol. 2, p. 1029)"
29677,https://pleiades.stoa.org/places/29677,Nabataea (region),37.5,32.5,29677:>>ABD Nabateans
29678,https://pleiades.stoa.org/places/29678,Nad-i Ali/Zarang?,61.849040153019644,30.99891001240899,29678:loc:osm-location-zaranj-archaeological-site:https://www.openstreetmap.org/browse/way/1349179967>Way 1349179967>osm:way=1349179967|29678:name:zarang:>>EncIran Drangiana
29686,https://pleiades.stoa.org/places/29686,Niriz/Narezzash?,54.319643,29.193851,"29686:name:niriz:>>Gyselen 1989, 28, 72-73|29686:name:narezzash:>>RGTC 11 Narez(z)a(n/š)"
29691,https://pleiades.stoa.org/places/29691,Oarakta (island),55.794316025739434,26.786671729329445,29691:https://whc.unesco.org/en/tentativelists/5215/>>World Heritage Tentative List - Qeshm Island|29691:loc:osm-location-of-qeshm-island:https://www.openstreetmap.org/browse/relation/3386092>Relation 3386092>osm:relation=3386092
29713,https://pleiades.stoa.org/places/29713,Persicus Sinus/Erythr(ae)um Mare,50.9999999,27.0000001,"29713:http://latin.packhum.org/loc/1206/1/0/10537-10547>>Lucius Ampelius, Liber Memorialis 7.1.4|29713:loc:location-of-persicus-sinus-erythr-ae-um-mare:http://www.openstreetmap.org/browse/node/305639193>Node 305639193>osm:node=305639193|29713:name:persicus-sinus:>>RE Persischer Meerbusen|29713:name:tamtu-shaplitu:>>RGTC 8, 227|29713:name:name.2013-07-23.9837973641:http://www.geonames.org/235616/persian-gulf.html>>GeoNames 235616"
29718,https://pleiades.stoa.org/places/29718,Phra(da)/Prophthasia/Frakh-kar-Peroz,62.111652874372794,32.382119010923255,"29718:loc:osm-location-of-farah-bala-hisar:http://www.openstreetmap.org/browse/way/248364684>Way 248364684>osm:way=248364684|29718:loc:osm-location-of-farah-bala-hisar:http://www.cemml.colostate.edu/cultural/09476/afgh05-061.html>>Afghanistan Signifcant Sites no. 061 Farah Bala Hisar|29718:loc:osm-location-of-farah-bala-hisar:>>Warwick Ball, Archaeological Gazetteer of Afghanistan, 1982, n. 318|29718:name:phrada:>>RE Phrada|29718:name:phra:>>RE Phrada|29718:name:frakh-kar-peroz:>>Gyselen 1989, 48|29718:name:phrada-1:>>TAVO Index (Vol. 2, p. 1242)|29718:name:phra-1:>>TAVO Index (Vol. 2, p. 1242)|29718:name:farah:>>TAVO Index (Vol. 1, p. 497)|29718:name:frah:>>TAVO Index (Vol. 1, p. 511)|29718:name:farah-1:>>TAVO Index (Vol. 1, p. 497)|29718:name:farah-1:http://www.iranicaonline.org/articles/farah->>Encyclopaedia Iranica Online. Farāh or Farah; a town and province in southwestern Afghanistan|29718:name:farah-2:>>TAVO Index (Vol. 1, p. 497)|29718:name:prophthasia-1:>>TAVO Index (Vol. 2, p. 1259)"
29729,https://pleiades.stoa.org/places/29729,Qal'a-i Sam,61.565115,30.448068,"29729:>>Caratelli 1966, 34-35|29729:>>Scerrato 1970, 137"
29743,https://pleiades.stoa.org/places/29743,Sarapi(a)s (island),58.78620910253658,20.428422490802593,29743:loc:osm-location-of-modern-al-masira:https://www.openstreetmap.org/browse/relation/4803835>Relation 4803835>osm:relation=4803835
29748,https://pleiades.stoa.org/places/29748,Sar-o Tar,61.66014,30.551217,29748:>>Ball 1982.1006
