created,description,details,provenance,title,uri,id,place_id,name_type,language_tag,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,association_certainty,transcription_accuracy,transcription_completeness,year_after_which,year_before_which
2010-11-09T19:29:41Z,,,Barrington Atlas: BAtlas 26 Tapori,Tapori,https://pleiades.stoa.org/places/260646/tapori,tapori,260646,geographic,,,Tapori,,,certain,accurate,complete,-30,300
2010-11-09T19:29:45Z,,,Barrington Atlas: BAtlas 26 Translucanus Pagus,Translucanus Pagus,https://pleiades.stoa.org/places/260650/translucanus-pagus,translucanus-pagus,260650,geographic,,,Translucanus Pagus,,,certain,accurate,complete,-30,300
2010-11-09T19:29:01Z,,,Barrington Atlas: BAtlas 26 Mullicensis Praefectura,Mullicensis Praefectura,https://pleiades.stoa.org/places/260606/mullicensis-praefectura,mullicensis-praefectura,260606,geographic,,,Mullicensis Praefectura,,,certain,accurate,complete,-30,300
2010-11-09T19:29:46Z,,,Barrington Atlas: BAtlas 26 Tribola,Tribola,https://pleiades.stoa.org/places/260651/tribola,tribola,260651,geographic,,,Tribola,,,certain,accurate,complete,-330,-30
2010-11-09T19:29:42Z,,,Barrington Atlas: BAtlas 26 Tapori/Talori,Tapori,https://pleiades.stoa.org/places/260647/tapori,tapori,260647,geographic,,,Tapori,,,certain,accurate,complete,-30,300
2010-11-09T19:29:42Z,,,Barrington Atlas: BAtlas 26 Tapori/Talori,Talori,https://pleiades.stoa.org/places/260647/talori,talori,260647,geographic,,,Talori,,,certain,accurate,complete,-30,300
2010-11-09T19:29:04Z,,,Barrington Atlas: BAtlas 26 Obila,Obila,https://pleiades.stoa.org/places/260610/obila,obila,260610,geographic,,,Obila,,,certain,accurate,complete,-30,300
2010-11-09T19:29:21Z,,,Barrington Atlas: BAtlas 26 Salar,Salar,https://pleiades.stoa.org/places/260630/salar,salar,260630,geographic,,,Salar,,,certain,accurate,complete,-30,300
2010-11-09T19:29:18Z,,,Barrington Atlas: BAtlas 26 Rodacis,Rodacis,https://pleiades.stoa.org/places/260626/rodacis,rodacis,260626,geographic,,,Rodacis,,,certain,accurate,complete,300,640
2019-10-26T02:02:09Z,Alternate name for Ermin Street,,Pleiades,Ermin Way,https://pleiades.stoa.org/places/26017958/ermin-way,ermin-way,26017958,geographic,en,Ermin Way,Ermin Way,,,certain,accurate,complete,1700,2100
