place_id,place_type
967060253,tower-defensive
967060245,tower-defensive
967060232,fortlet
967060265,fortlet
967060273,tower-defensive
967060224,fortlet
967060249,fortlet
967060248,tower-defensive
967060225,tower-defensive
967060272,fortlet
967060264,tower-defensive
967060233,tower-defensive
967060244,fortlet
967060252,fortlet
967060229,tower-defensive
967060291,tower-defensive
967060268,fort
967060287,fortlet
967060234,fortlet
967060263,tower-defensive
967060275,tower-defensive
967060222,tower-defensive
967060259,tower-defensive
967060218,fortlet
967060238,tower-defensive
967060280,tower-defensive
967060279,tower-defensive
967060279,tower-single
967060296,tower-defensive
967060255,tower-defensive
967060214,tower-defensive
967060243,fortlet
967060242,tower-defensive
967060215,fortlet
967060254,tower-defensive
967060278,fortlet
967060297,fortlet
967060281,tower-defensive
967060239,tower-defensive
967060219,tower-defensive
967060258,fortlet
967060223,tower-defensive
967060274,tower-defensive
967060262,tower-defensive
967060235,tower-defensive
967100965,bridge
967101988,bridge
967348568,city-gate
967215409,sanctuary
967215409,architecturalcomplex
967215409,temple-2
966917973,townhouse
966917974,ekklesiasterion
966985945,tribus
966705384,settlement
966148098,bridge
966876571,theatre
966420455,forum
966389649,people
961961,temple
961920,river
961900,settlement
961916,settlement
961941,settlement
961940,settlement
961901,settlement
961956,settlement
961921,settlement
961960,mountain
961960,label
961951,settlement
961951,archaeological-site
961910,temple
961947,settlement
961930,settlement
961967,settlement
961971,settlement
961926,settlement
961927,settlement
961931,settlement
961946,river
961911,settlement
961907,settlement
961950,settlement
961928,settlement
961969,settlement
961969,cemetery
961924,settlement
961965,settlement
961909,settlement
961933,settlement
961964,settlement
961925,unknown
961952,settlement
961905,settlement
961944,settlement
961968,cemetery
961929,settlement
961975,settlement
961963,settlement
961934,region
961934,label
961918,settlement
961959,settlement
961943,settlement
961914,settlement
961902,settlement
961954,settlement
961903,settlement
961939,settlement
961958,settlement
961935,river
961923,settlement
96199445,sanctuary
96199445,temple-2
961678240,satrapy
961672314,quarry
961672314,settlement-modern
961873,fort-2
961873,urban
961873,settlement
961890,settlement
961886,settlement
961891,label
961891,people
961872,settlement
961896,settlement
961879,settlement
961880,settlement
961875,settlement
961874,settlement
961874,archaeological-site
961881,region
961881,satrapy
961881,label
961878,settlement
961878,archaeological-site
961882,river
961894,settlement
961898,settlement
961876,settlement
961895,settlement
961893,settlement
961885,settlement
961889,cemetery
961231336,settlement
961231336,cemetery
96151228,sanctuary
96151228,archaeological-site
968039984,tumulus
968039985,tumulus
96803444,fort-2
96803444,hillfort
968858713,hill
968351378,settlement
968351378,archaeological-site
968351378,tell
96853716,temple-2
964671598,settlement
964671598,archaeological-site
964673805,fort-2
964673805,findspot
964673805,archaeological-site
964673805,citadel
964138,unlocated
964142,unlocated
964140,unlocated
964860496,plaza
964860496,mosque
964847697,earthwork
964333742,tribus
964353021,bath
964353020,castle
964504689,river
964510417,fort-2
964510419,hillfort
964510418,hillfort
964510418,fort
963064754,fort-2
963047542,temple-2
963100985,villa
963100993,settlement
963100989,settlement
963100988,pass
963100992,settlement
963100984,villa
963100999,villa
963100983,villa
963100995,settlement
963100994,settlement
963100982,villa
963100998,villa
963100978,villa
963100997,settlement
963100981,villa
963100980,villa
963100979,villa
963100996,settlement
963100991,settlement
963100987,bridge
963100986,villa
963100990,settlement
963101013,settlement
963101044,settlement
963101052,fort
963101005,villa
963101091,cemetery
963101029,fort
963101068,fort
963101087,cemetery
963101048,settlement
963101009,temple-2
963101072,fort
963101025,pass
963101033,fort
963101064,fort
963101065,fort
963101032,fort
963101024,pass
963101073,fort
963101008,villa
963101049,settlement
963101069,fort
963101086,cemetery
963101028,fort
963101090,cemetery
963101004,villa
963101053,fort
963101045,settlement
963101045,villa
963101012,settlement
963101019,villa
963101058,fort
963101074,fort
963101023,pass
963101035,fort
963101062,fort
963101015,settlement
963101042,settlement
963101054,fort
963101003,villa
963101078,fort
963101097,mine
963101039,quarry
963101081,fort-2
963101080,fort
963101038,quarry
963101079,fort
963101096,mine
963101002,villa
963101055,fort
963101043,settlement
963101014,settlement
963101063,fort
963101034,fort
963101022,pass
963101075,fort
963101059,fort
963101018,villa
963101060,fort
963101037,quarry
963101021,pass
963101099,mine
963101076,fort
963101083,settlement
963101095,mine
963101001,villa
963101056,fort
963101040,quarry
963101017,settlement
963101016,settlement
963101041,settlement
963101057,fort
963101000,villa
963101094,mine
963101082,settlement
963101098,mine
963101077,fort
963101020,quarry
963101036,fort
963101061,fort
963101085,cemetery
963101093,cemetery
963101007,villa
963101050,fort
963101046,settlement
963101011,settlement
963101089,cemetery
963101066,fort
963101031,fort
963101027,fort
963101070,fort
963101071,fort
963101026,fort
963101030,fort
963101088,cemetery
963101067,fort
963101010,settlement
963101047,settlement
963101051,fort
963101006,villa
963101092,cemetery
963101084,cemetery
963101156,mine-2
963101101,reservoir
963101117,reservoir
963101140,mine-2
963101183,villa
963101195,villa
963101137,mine-2
963101160,mine-2
963101199,villa
963101176,mine-2
963101121,pass
963101120,quarry
963101198,villa
963101177,well
963101161,mine-2
963101136,quarry
963101194,villa
963101182,villa
963101141,mine-2
963101116,reservoir
963101100,reservoir
963101157,mine-2
963101131,mine-2
963101189,villa
963101166,mine-2
963101170,mine-2
963101127,mine-2
963101150,mine-2
963101107,reservoir
963101111,reservoir
963101146,mine-2
963101185,villa
963101193,villa
963101192,villa
963101184,villa
963101147,mine-2
963101110,reservoir
963101106,reservoir
963101151,mine-2
963101126,pass
963101171,mine-2
963101188,villa
963101167,mine-2
963101130,mine-2
963101125,pass
963101172,mine-2
963101164,mine-2
963101133,quarry
963101148,mine-2
963101109,reservoir
963101129,mine-2
963101191,villa
963101168,mine-2
963101187,villa
963101144,mine-2
963101113,reservoir
963101105,reservoir
963101152,mine-2
963101153,mine-2
963101104,reservoir
963101112,reservoir
963101145,mine-2
963101169,mine-2
963101186,villa
963101190,villa
963101128,mine-2
963101108,reservoir
963101149,mine-2
963101132,quarry
963101165,mine-2
963101173,mine-2
963101124,pass
963101178,well
963101197,villa
963101181,villa
963101139,mine-2
963101142,mine-2
963101115,reservoir
963101103,reservoir
963101154,mine-2
963101123,pass
963101174,mine-2
963101162,mine-2
963101135,quarry
963101119,reservoir
963101158,mine-2
963101159,mine-2
963101118,reservoir
963101134,quarry
963101163,mine-2
963101175,mine-2
963101122,pass
963101155,mine-2
963101102,reservoir
963101114,reservoir
963101143,mine-2
963101138,mine-2
963101180,villa
963101179,villa
963101196,villa
963101402,villa
963101403,villa
963101408,villa
963101404,villa
963101405,villa
963101409,villa
963101406,villa
963101407,villa
963101400,villa
963101401,villa
963101382,temple
963101394,villa
963101357,villa
963101300,villa
963101316,villa
963101341,villa
963101336,villa
963101361,villa
963101377,villa
963101398,villa
963101320,villa
963101321,villa
963101376,villa
963101399,villa
963101360,villa
963101337,villa
963101340,villa
963101317,villa
963101301,villa
963101356,villa
963101395,villa
963101383,villa
963101330,villa
963101367,villa
963101388,villa
963101371,villa
963101326,villa
963101384,villa
963101392,villa
963101351,villa
963101306,villa
963101310,villa
963101347,villa
963101346,villa
963101311,villa
963101307,villa
963101350,villa
963101393,villa
963101385,villa
963101327,villa
963101370,villa
963101366,villa
